Month,ATRISCO_1_SP24-79,ATRISCO_2_SP22-79,ATRISCO_3_SP22-79,ATRISCO_4_SP22-79,BURTON_1_SP30-79,BURTON_2_SP14-79,BURTON_3_SP14-79,BURTON_4_SP30-79,BURTON_5_SP37-79,CHARLES_1_SP16-79,CHARLES_2_SP16-79,CHARLES_3_SP16-79,CHARLES_4_SP16-79,CHARLES_5_SP33-79,COLLEGE_1_SP23-79,COLLEGE_2_SP23-79,CORONADO_1_SP30-79,CORONADO_2_SP39-79,DURANES_1_SP13-79,DURANES_2_SP13-79,DURANES_3_SP12-79,DURANES_4_SP12-79,DURANES_5_SP12-79,DURANES_6_SP12-79,DURANES_7_SP12-79,GONZALES_1_SP39-79,GONZALES_2_SP36-79,GONZALES_3_SP52-79,GRIEGOS_1_SP13-79,GRIEGOS_3_SP12-79,GRIEGOS_4_SP12-79,LEAVITT_1_SP17-79,LEAVITT_2_SP17-79,LEAVITT_3_SP30-79,LEYENDCKR_1_SP13-79,LEYENDCKR_2_SP13-79,LEYENDCKR_3_SP13-79,LEYENDCKR_4_SP13-79,LOMAS_1_SP14-79,LOMAS_5_SP30-79,LOMAS_6_SP30-79,LOVE_1_SP13-79,LOVE_3_SP13-79,LOVE_4_SP13-79,LOVE_5_SP13-53,LOVE_6_SP16-79,LOVE_7_SP16-79,LOVE_8_SP16-79,METRODETCTR_SP58-79,MILES_1_SP19-65,NM_UTL_1_SP14-79,NM_UTL_2_SP15-79,NM_UTL_3_SP23-79,NM_UTL_4_SP43-79,NM_UTL_5_SP49-79,NM_UTL_7,NM_UTL_8,NM_UTL_9,PONDEROSA_2_SP16-79,PONDEROSA_3_SP19-65,PONDEROSA_4_SP21-79,PONDEROSA_6_SP21-79,RIDGECREST_1_SP15-79,RIDGECREST_2_SP19-79,RIDGECREST_3_SP16-79,RIDGECREST_4_SP16-79,RIDGECREST_5_SP35-79,SAN_JOSE_1_SP12-58,SAN_JOSE_2A_SP30-79,SAN_JOSE_3A_SP22-79,SANTABAR_1_SP15-79,THOMAS_1_SP13-79,THOMAS_2_SP13-64,THOMAS_3_SP13-56,THOMAS_4_SP13-79,THOMAS_5_SP33-79,THOMAS_6_SP33-79,THOMAS_7_SP33-79,THOMAS_8_SP39-79,VOLANDIA_1_SP14-79,VOLANDIA_2_SP14-79,VOLANDIA_3_SP14-79,VOLANDIA_4_SP14-79,VOLANDIA_5_SP14-79,VOLANDIA_6_SP14-79,VOLCLIFFS_1_SP16-79,VOLCLIFFS_2_SP16-79,VOLCLIFFS_3_SP30-79,WALKER_1_SP28-79,WALKER_2_SP31-79,WALKER_3_SP44-79,WALKER_4_SP44-79,WEBSTER_1_SP23-79,WEBSTER_2_SP23-79,WEST_MESA_1_SP13-79,WEST_MESA_3_SP16-54,WEST_MESA_4_SP17-69,YALE_1_SP17-79,YALE_2_SP16-79,YALE_3_SP16-79,ZAMORA_1_SP39-79,ZAMORA_2_SP49-79
1/1/2001,13780000,5260000,17550000,17540000,23620000,20750000,10290000,20630000,47250000,0,0,52130000,46420000,36870000,60000,10210000,43150000,28310000,0,0,0,0,0,0,0,17450000,25020000,0,8870000,12150000,7200000,14570000,14370000,15610000,9170000,10810000,31540000,40750000,21040000,0,0,0,32930000,41280000,0,8920000,21080000,47940000,NA,22670000,NA,NA,NA,NA,NA,NA,NA,NA,25440000,20610000,17030000,9510000,12420000,32190000,23840000,28970000,77210000,1080000,16690000,25680000,68480000,0,4260000,0,13990000,32120000,18270000,34140000,17680000,46800000,34590000,21250000,5860000,38630000,35620000,0,21620000,35670000,10730000,5800000,0,24680000,30070000,11110000,7270000,0,47220000,33100000,900000,7330000,12450000,46170000
2/1/2001,37120000,14480000,19430000,3710000,0,29370000,16760000,29040000,44950000,0,0,44990000,52160000,40830000,30000,30000,23540000,52970000,6550000,18880000,10920000,14300000,6500000,9250000,6300000,13650000,25110000,0,23180000,15620000,19380000,6320000,10700000,27790000,3380000,11970000,21890000,37890000,29210000,0,0,0,1400000,1590000,0,16750000,35940000,61350000,NA,18800000,NA,NA,NA,NA,NA,NA,NA,NA,40510000,39920000,18440000,33240000,0,30550000,43870000,39500000,71240000,1720000,11050000,15650000,28110000,4870000,13020000,0,15360000,5650000,20040000,980000,22180000,0,42080000,11070000,24920000,31470000,20570000,0,17280000,7580000,12550000,30530000,0,2290000,35730000,250000,7840000,0,31340000,18280000,5990000,9360000,26270000,67210000
3/1/2001,46190000,17430000,21310000,5890000,29070000,6660000,15900000,28430000,67420000,890000,0,62460000,68490000,50070000,0,5790000,34120000,56520000,12480000,20540000,15600000,8000000,5980000,9190000,4930000,16220000,30090000,0,30900000,22130000,24930000,10360000,8820000,45940000,15750000,18810000,24370000,46990000,35080000,0,0,0,28550000,42010000,0,12430000,29150000,66640000,NA,23320000,NA,NA,NA,NA,NA,NA,NA,NA,45890000,37690000,20770000,41360000,0,32980000,52730000,62910000,73810000,4140000,19860000,30050000,71940000,24110000,13330000,0,13210000,33480000,11940000,29990000,12760000,50570000,16120000,21600000,6600000,37120000,35320000,0,19460000,18900000,7110000,43310000,0,8420000,18720000,31670000,3780000,0,45050000,42460000,9520000,15930000,33710000,73230000
4/1/2001,57140000,21130000,21980000,6890000,63100000,43850000,24050000,34210000,52730000,72240000,0,51770000,71160000,42930000,70000,32200000,41300000,60240000,33000000,40920000,25420000,13940000,12770000,17430000,25010000,16950000,30810000,60000,35230000,22850000,26260000,13170000,10340000,54060000,13880000,23090000,39750000,54550000,33780000,50000,10000,160000,39170000,42700000,0,19810000,40070000,59530000,NA,31330000,NA,NA,NA,NA,NA,NA,NA,NA,46660000,53900000,21380000,42700000,0,51400000,70910000,74990000,58800000,4700000,17650000,27690000,71750000,26200000,27580000,0,15290000,35840000,46140000,48480000,55620000,60650000,34550000,21850000,27620000,37130000,36450000,0,21870000,34010000,31320000,26430000,0,18300000,31330000,39890000,7390000,0,44200000,45670000,22070000,26510000,45490000,79360000
5/1/2001,52530000,19450000,31770000,18040000,61410000,45480000,25910000,47050000,74110000,86120000,20460000,61170000,76180000,50770000,0,38540000,54040000,62560000,45190000,80290000,27000000,17030000,19140000,21750000,38590000,22060000,46410000,4440000,63510000,32980000,38210000,18450000,15260000,61130000,36950000,43380000,46120000,59340000,29630000,15200000,26170000,0,44240000,40770000,0,22850000,42680000,63230000,NA,39410000,NA,NA,NA,NA,NA,NA,NA,NA,46290000,54970000,24920000,49690000,19590000,49680000,68000000,74050000,78160000,7240000,27260000,46120000,78500000,32500000,32060000,0,29960000,39960000,60650000,56830000,58570000,77460000,62160000,38950000,43270000,45650000,51350000,26180000,30110000,47050000,37860000,26070000,940000,29460000,26120000,73160000,9380000,0,58320000,52010000,37150000,35130000,50360000,72870000
6/1/2001,64210000,27440000,37610000,28070000,72820000,59110000,33800000,57740000,90450000,90760000,82670000,73330000,66780000,72830000,0,49440000,61670000,77450000,65610000,85620000,35010000,24540000,25460000,28610000,50400000,32520000,49710000,8940000,69620000,39030000,46120000,25010000,19700000,67160000,45290000,58640000,51990000,59110000,32890000,63180000,62010000,0,43560000,44870000,0,24670000,49480000,66660000,NA,45360000,NA,NA,NA,NA,NA,NA,NA,NA,46480000,57580000,32960000,60990000,27310000,67880000,75840000,77690000,65150000,9480000,34750000,60090000,83360000,35420000,35250000,0,37740000,51390000,66870000,60020000,58820000,89480000,78800000,50560000,59030000,53870000,66570000,59590000,23250000,52830000,39280000,13630000,30250000,43190000,33520000,81380000,8210000,0,62500000,63370000,55300000,43710000,53310000,76460000
7/1/2001,63720000,27490000,39230000,25260000,76520000,55520000,35560000,42370000,91210000,93350000,80490000,72760000,53360000,66150000,70000,43470000,60880000,75420000,64760000,84530000,33500000,21110000,23630000,28620000,49460000,24900000,50300000,14020000,65020000,34370000,40160000,22140000,18750000,66840000,37430000,53780000,62650000,62260000,33820000,34940000,56410000,0,44590000,46430000,0,21610000,45230000,68580000,NA,42000000,NA,NA,NA,NA,NA,NA,NA,NA,46760000,47630000,33050000,57920000,26720000,58810000,79030000,88210000,86610000,7760000,30620000,56300000,74530000,32920000,24150000,0,40480000,42310000,65130000,60500000,57880000,95170000,61970000,47660000,53020000,51920000,52620000,52330000,21380000,46960000,38280000,30200000,17710000,33040000,27330000,82470000,5380000,0,54560000,67100000,41770000,40270000,55670000,79040000
8/1/2001,57860000,21870000,34660000,22470000,67470000,55400000,33750000,56770000,85040000,91010000,9780000,83430000,64760000,68270000,70000,44710000,62810000,57830000,35460000,75040000,37860000,2400000,28500000,31600000,51720000,23140000,37570000,3180000,45220000,29120000,31350000,19450000,17150000,61160000,29780000,43910000,57730000,58910000,33550000,13130000,17220000,0,29070000,39780000,0,16190000,37040000,66770000,NA,22530000,NA,NA,NA,NA,NA,NA,NA,NA,44710000,54930000,29080000,56310000,5350000,60360000,75460000,78020000,66390000,4360000,30700000,57150000,72600000,31880000,30650000,0,29770000,34970000,60830000,55770000,58690000,74400000,56940000,36670000,39620000,46390000,34670000,10650000,27000000,56100000,35220000,36540000,1540000,22040000,23290000,66850000,7050000,0,61360000,66980000,38460000,41100000,57710000,77390000
9/1/2001,55910000,23060000,34580000,23090000,74040000,55140000,29040000,58180000,86270000,94410000,32360000,53180000,94980000,55410000,60000,44680000,56750000,64950000,10000,66290000,36480000,90000,28960000,36160000,59850000,19710000,32320000,350000,37390000,28980000,34550000,19530000,14020000,56950000,25980000,36100000,56920000,62850000,35180000,16000000,24660000,0,35370000,46080000,0,17310000,14720000,65550000,NA,40330000,NA,NA,NA,NA,NA,NA,NA,NA,46570000,52300000,24160000,55240000,10590000,51590000,77790000,80910000,73230000,2770000,32210000,51120000,64060000,26770000,22220000,0,34210000,29370000,61280000,59120000,59640000,81170000,57860000,36260000,38790000,38570000,42130000,10730000,28620000,48060000,15500000,18640000,9690000,41320000,19020000,65740000,7690000,0,62200000,61370000,35690000,36290000,57050000,80630000
10/1/2001,49680000,18320000,29080000,18360000,67630000,45900000,25730000,44180000,71730000,86380000,22430000,55880000,81950000,0,30000,30420000,46730000,50560000,300000,70860000,27620000,0,21710000,30990000,59080000,16020000,18590000,5800000,35720000,23280000,26390000,12830000,8740000,51460000,18720000,22120000,40610000,60560000,33480000,10290000,21070000,3670000,25500000,45060000,0,14730000,0,64570000,NA,27220000,NA,NA,NA,NA,NA,NA,NA,NA,45890000,42780000,22860000,17070000,17340000,41330000,65660000,69790000,65250000,3930000,22560000,38280000,57210000,20410000,7440000,0,30840000,25010000,47750000,55680000,58580000,63830000,42860000,27930000,27100000,39850000,26710000,11430000,24740000,37360000,0,1590000,13110000,47110000,17040000,48680000,7370000,0,57310000,59680000,21030000,25420000,46660000,70290000
